Date,Startup_Name,Industry_Vertical,SubVertical,City_Location,Investors_Name,Investment_Type,Amount_USD,Remarks,Year,amount_category,investor_count
2019-07-11,Moglix,ECommerce,Industrial Tools and Equipments,Unknown,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,No Remark,2019,High,3
2019-07-10,Ezyhaul,Technology,Logistics,Unknown,Undisclosed,Series B,16000000.0,No Remark,2019,High,1
2019-07-10,Indus OS,Technology,Smartphone Operating System,Mumbai,Ventureast,Series B,5750000.0,No Remark,2019,Medium,1
2019-07-10,HealthAssure,Healthcare,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0,No Remark,2019,Medium,1
2019-06-03,Agara Labs,Technology,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,Pre-Series A,2500000.0,No Remark,2019,Medium,1
2019-06-06,Sistema.bio,Technology,Hybrid Reactor Biodigestor,Unknown,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Seed Funding,2739034.68,No Remark,2019,Medium,10
2019-06-06,Chakr Innovation,Technology,Renewable Energy,New Delhi,IAN Fund,Series A,26000000.0,No Remark,2019,High,1
2019-06-06,Pratilipi,Technology,E-Books,Bangalore,Qiming Venture Partners,Series B,15109500.0,No Remark,2019,High,1
2019-06-10,Bolo App,Technology,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,430200.0,No Remark,2019,Low,1
2019-06-10,OkCredit,FinTech,Financial Services,Unknown,Tiger Global Management,Series A,15500000.0,No Remark,2019,High,1
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,Unknown,WestBridge Capital,Series B,52000000.0,No Remark,2019,High,1
2019-06-08,Vogo Automotive Pvt. Ltd.,Technology,Dockless Scooter Rental Company,Unknown,Alteria Capital,Debt Funding,3584000.0,No Remark,2019,Medium,1
2019-05-01,BlackBuck,Technology,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0,No Remark,2019,High,7
2019-05-02,Zenoti,SaaS,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0,No Remark,2019,High,1
